Solution Label,Type,Element,Soln Conc
2 (1/1000),Samp,K 766.491,0.0939065
2 (1/1000),Samp,Mn 257.610,7.46E-05
2 (1/1000),Samp,Mo 202.032,0.0125753
2 (1/1000),Samp,Ni 231.604,-0.00516352
2 (1/1000),Samp,Pb 220.353,0.0203709
2 (1/1000),Samp,Se 196.026,-0.0758109
2 (1/1000),Samp,Sr 407.771,4.78E-05
2 (1/1000),Samp,Zn 213.857,-0.00329494
3 (1/1000),Samp,Al 308.215,-0.0150188
3 (1/1000),Samp,As 193.696,0.0281617
3 (1/1000),Samp,Ba 455.403,-8.64E-06
3 (1/1000),Samp,Cd 226.502,-3.17E-05
3 (1/1000),Samp,Co 228.615,-0.00162535
3 (1/1000),Samp,Cr 267.716,0.00443098
3 (1/1000),Samp,Cu 324.754,-0.00109817
3 (1/1000),Samp,K 766.491,0.160091
3 (1/1000),Samp,Mn 257.610,-0.000197603
3 (1/1000),Samp,Mo 202.032,0.000686338
3 (1/1000),Samp,Ni 231.604,-0.0116809
3 (1/1000),Samp,Pb 220.353,0.00893788
3 (1/1000),Samp,Se 196.026,0.0354065
3 (1/1000),Samp,Sr 407.771,6.36E-05
3 (1/1000),Samp,Zn 213.857,0.00274915
4 (1/1000),Samp,Al 308.215,-0.0318106
4 (1/1000),Samp,As 193.696,0.0182519
4 (1/1000),Samp,Ba 455.403,-0.000160478
4 (1/1000),Samp,Cd 226.502,0.00199668
4 (1/1000),Samp,Co 228.615,-0.00113385
4 (1/1000),Samp,Cr 267.716,-0.0009967
4 (1/1000),Samp,Cu 324.754,-0.0024119
4 (1/1000),Samp,K 766.491,0.25849
4 (1/1000),Samp,Mn 257.610,0.000475946
4 (1/1000),Samp,Mo 202.032,0.00297755
4 (1/1000),Samp,Ni 231.604,-0.0101809
4 (1/1000),Samp,Pb 220.353,0.00577554
4 (1/1000),Samp,Se 196.026,-0.0323962
4 (1/1000),Samp,Sr 407.771,0.000155233
4 (1/1000),Samp,Zn 213.857,0.000636872
5 (1/1000),Samp,Al 308.215,-0.0140539
5 (1/1000),Samp,As 193.696,-0.0361086
5 (1/1000),Samp,Ba 455.403,-4.15E-05
5 (1/1000),Samp,Cd 226.502,0.00156163
5 (1/1000),Samp,Co 228.615,-0.00526525
5 (1/1000),Samp,Cr 267.716,-9.65E-05
5 (1/1000),Samp,Cu 324.754,-0.00332083
5 (1/1000),Samp,K 766.491,0.164421
5 (1/1000),Samp,Mn 257.610,-0.00024594
5 (1/1000),Samp,Mo 202.032,0.00707315
5 (1/1000),Samp,Ni 231.604,-0.00855537
5 (1/1000),Samp,Pb 220.353,0.0067438
5 (1/1000),Samp,Se 196.026,0.00176403
5 (1/1000),Samp,Sr 407.771,2.77E-05
5 (1/1000),Samp,Zn 213.857,-0.00141794
